id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,home_team,away_team,_home_score,_away_score,_date,match_margin,match_result,home_win,_match_key,home_win_rate_l3,home_win_rate_l5,home_score_for_avg_l3,home_score_for_avg_l5,home_score_against_avg_l3,home_score_against_avg_l5,home_win_streak,home_days_rest,away_win_rate_l3,away_win_rate_l5,away_score_for_avg_l3,away_score_for_avg_l5,away_score_against_avg_l3,away_score_against_avg_l5,away_win_streak,away_days_rest,h2h_home_win_rate,h2h_away_win_rate,h2h_draw_rate,h2h_meetings,form_diff_l3,score_form_diff_l3,form_diff_l5,score_form_diff_l5,feature_version
11125,Collingwood Magpies,6,1983-04-30,1983,H,North Melbourne Kangaroos,2.4 9.9 11.11 19.16,130,2.10 8.12 13.17 15.18,108,W,22,Victoria Park,28315.0,19,16,15,18,Collingwood Magpies,North Melbourne Kangaroos,130,108,1983-04-30,22,HOME_WIN,1,9237,0.0,0.2,92.33333333333333,101.6,111.0,111.8,0,7.0,0.3333333333333333,0.5,97.66666666666667,98.25,106.33333333333333,101.5,0,5.0,,,,0,-0.3333333333333333,-5.333333333333343,-0.3,3.3499999999999943,week3_day1_v1
11509,Essendon Bombers,6,1983-04-30,1983,H,Western Bulldogs,3.6 11.14 17.16 27.19,181,3.2 3.3 5.5 7.7,49,W,132,Windy Hill,26387.0,27,19,7,7,Essendon Bombers,Western Bulldogs,181,49,1983-04-30,132,HOME_WIN,1,9543,0.6666666666666666,0.6,108.33333333333333,113.2,112.33333333333333,103.6,2,5.0,0.5,0.5,96.5,96.5,101.5,101.5,1,14.0,,,,0,0.16666666666666663,11.833333333333329,0.09999999999999998,16.700000000000003,week3_day1_v1
12726,Hawthorn Hawks,7,1983-05-07,1983,H,North Melbourne Kangaroos,3.2 6.6 9.11 13.13,91,4.5 8.11 13.15 21.16,142,L,-51,Princes Park,13958.0,13,13,21,16,Hawthorn Hawks,North Melbourne Kangaroos,91,142,1983-05-07,-51,AWAY_WIN,0,10501,0.3333333333333333,0.6,93.33333333333333,104.2,99.0,76.8,0,7.0,0.3333333333333333,0.4,119.33333333333333,100.2,120.33333333333333,107.2,0,7.0,,,,0,0.0,-26.0,0.19999999999999996,4.0,week3_day1_v1
13520,Melbourne Demons,7,1983-05-07,1983,H,St Kilda Saints,5.2 8.4 12.9 16.12,108,3.1 8.3 9.5 11.9,75,W,33,Waverley Park,25192.0,16,12,11,9,Melbourne Demons,St Kilda Saints,108,75,1983-05-07,33,HOME_WIN,1,11117,0.3333333333333333,0.25,96.0,103.25,103.33333333333333,111.25,0,21.0,0.0,0.0,106.0,97.0,131.0,131.0,0,7.0,,,,0,0.3333333333333333,-10.0,0.25,6.25,week3_day1_v1
13978,Richmond Tigers,7,1983-05-07,1983,H,Essendon Bombers,4.4 9.7 12.12 16.16,112,7.3 11.5 16.6 21.11,137,L,-25,Melbourne Cricket Ground,49707.0,16,16,21,11,Richmond Tigers,Essendon Bombers,112,137,1983-05-07,-25,AWAY_WIN,0,11484,0.0,0.0,87.66666666666667,84.75,112.33333333333333,118.25,0,12.0,1.0,0.8,150.0,127.4,96.33333333333333,91.2,3,7.0,,,,0,-1.0,-62.33333333333333,-0.8,-42.650000000000006,week3_day1_v1
15426,W. Bulldogs,7,1983-05-07,1983,H,Collingwood Magpies,3.2 4.7 7.10 11.16,82,5.3 8.3 13.4 14.4,88,L,-6,Western Oval,31479.0,11,16,14,4,W. Bulldogs,Collingwood Magpies,82,88,1983-05-07,-6,AWAY_WIN,0,12625,1.0,1.0,105.0,105.0,80.5,80.5,2,28.0,0.3333333333333333,0.2,106.66666666666667,100.6,114.66666666666667,108.4,1,7.0,,,,0,0.6666666666666667,-1.6666666666666714,0.8,4.400000000000006,week3_day1_v1
11911,Fitzroy Lions,7,1983-05-07,1983,H,geelong cats,3.3 5.3 9.8 11.10,76,1.1 4.4 7.8 9.13,67,W,9,Junction Oval,18770.0,11,10,9,13,Fitzroy Lions,geelong cats,76,67,1983-05-07,9,HOME_WIN,1,15226,1.0,0.75,121.66666666666667,119.25,74.33333333333333,88.5,3,7.0,,,,,,,0,,,,,0,,,,,week3_day1_v1
14733,Sydney Swans,7,1983-05-08,1983,H,Carlton Blues,7.4 10.6 15.6 18.10,118,1.3 14.7 15.12 22.17,149,L,-31,"Sydney Cricket Ground
",15432.0,18,10,22,17,Sydney Swans,Carlton Blues,118,149,1983-05-08,-31,AWAY_WIN,0,12089,0.3333333333333333,0.4,99.33333333333333,90.8,149.33333333333334,125.6,0,8.0,0.3333333333333333,0.4,83.0,85.6,103.33333333333333,99.2,0,8.0,,,,0,0.0,16.33333333333333,0.0,5.200000000000003,week3_day1_v1
12334,Geelong Cats,8,1983-05-14,1983,H,Sydney Swans,3.2 7.10 9.12 11.18,84,7.4 9.5 14.12 16.14,110,L,-26,GMHBA Stadium,17650.0,11,18,16,14,Geelong Cats,Sydney Swans,84,110,1983-05-14,-26,AWAY_WIN,0,10198,0.6666666666666666,0.8,98.33333333333333,98.0,95.0,85.4,1,14.0,0.3333333333333333,0.2,123.66666666666667,92.2,137.33333333333334,133.4,0,6.0,,,,0,0.3333333333333333,-25.333333333333343,0.6000000000000001,5.799999999999997,week3_day1_v1
12727,Hawthorn Hawks,8,1983-05-14,1983,H,Essendon Bombers,5.5 9.10 15.13 20.17,137,2.3 6.3 11.8 14.11,95,W,42,Princes Park,21835.0,20,17,14,11,Hawthorn Hawks,Essendon Bombers,137,95,1983-05-14,42,HOME_WIN,1,10502,0.3333333333333333,0.4,91.33333333333333,108.4,107.0,96.2,0,7.0,1.0,0.8,148.66666666666666,128.6,94.66666666666667,99.6,4,7.0,,,,0,-0.6666666666666667,-57.33333333333333,-0.4,-20.19999999999999,week3_day1_v1
